,Geo.mean,Volatility,maxDD,maxTuW,VaR,CVaR
SPY,0.1049037796,2.4786010017,55.1465881449,309,-3.7016228393,-5.9929042186
MDY,0.1395470044,2.925897002,54.6070219212,327,-4.3879900974,-7.0615119047
EWJ,-0.0262005688,2.6996706633,53.9909149903,327,-4.0285535738,-6.3035140664
EWH,0.1126724196,3.3731144187,61.7634768074,302,-4.7864467917,-7.8175711388
EWG,0.0503810355,3.8002064723,64.5259095921,177,-6.259967201,-9.3346275639
EWW,0.0865004877,4.0733974273,65.3660811441,327,-5.5234347464,-9.2559925038
EWA,0.0098178072,3.9168660258,68.9426678191,327,-6.013750021,-9.243225971
EWS,0.0823147458,3.2992146042,65.374841169,302,-4.7018612557,-7.4716699374
EWM,0.1238235538,2.8285746165,52.034261242,327,-4.5972168083,-6.6085897132
EWI,-0.1389919369,4.280533555,73.8927097662,327,-7.5060541614,-9.8449762554
EWQ,-0.0210348401,3.8330538061,62.7976936576,327,-6.3550538282,-9.1448656233
EWD,0.0514635176,4.4200678676,69.8701298701,327,-7.1603300914,-9.9981550328
EWN,0.026258527,3.5876878211,66.5546731827,327,-6.0421192164,-8.4533419473
EWK,-0.0528102517,3.6934312043,75.7203092059,327,-6.3877014661,-9.2068146551
XLF,-0.0695691625,4.1701593788,81.6170661048,309,-5.9944001243,-10.7583124486
XLK,0.1493838511,2.6235742012,51.9366197183,292,-4.1375552609,-6.2451966529
XLE,0.0789482688,3.6569908561,56.3667425968,327,-5.4456762749,-8.6485801918
XLP,0.1596732431,1.7211099488,32.845473111,309,-2.3679660802,-4.1242776552
XLU,0.0750533379,2.2255846252,47.6363636364,187,-3.270970725,-5.447982866
XLB,0.0950660114,3.475483878,59.9779492834,327,-5.0994478717,-8.3402163101
EWY,0.0418634607,4.5498347733,72.3515248796,327,-6.1767925714,-10.6656510464
IWB,0.1115153058,2.5175582472,55.1687639657,309,-3.8126076029,-6.0027434612
IWM,0.1048769336,3.1840126358,57.2591107442,327,-4.7393012747,-7.5559750639
IWF,0.1435206103,2.4818385448,50.669185955,327,-3.5899528576,-5.9859965037
IWD,0.0758141191,2.6615049535,60.5459610028,309,-3.7062472928,-6.4530091401
IJH,0.1397009865,2.9009880272,54.4941992844,327,-4.5303027654,-6.9431321882
IJR,0.1276678855,3.1022212733,56.6612066612,327,-4.6722491156,-7.3540314718
IVW,0.1432082702,2.3940733871,48.7264215889,319,-3.619762646,-5.7099725986
IVE,0.0657145991,2.7007929415,61.671024483,309,-4.1486884636,-6.6238068692
IWV,0.1103436948,2.5714226632,55.2430517108,309,-3.912355374,-6.1782365653
IYF,-0.0389253349,3.8059528313,77.8655476014,309,-5.6387344638,-9.8200592695
IYZ,0.0343287991,2.9047236646,60.3142857143,327,-4.2590731171,-6.7972096056
IYR,0.0157218662,3.7827556058,75.182404568,322,-5.2712136447,-9.4606489651
IYE,0.0788053578,3.5608055328,54.9654491609,319,-5.1705584952,-8.4012906736
IDU,0.0803764671,2.2016217444,48.2566380043,187,-3.3182199167,-5.5791654555
